
DATE,TRANSFER_ID,USER_TYPE,ENTRY_TYPE,ACCOUNT_ID,TRANSFER_STATUS,SERVICE_NAME,REQUESTED_VALUE,APPROVED_VALUE,PREVIOUS_BALANCE,POST_BALANCE,TRANSFER_DATE,TRANSACTION_TYPE,SECOND_PARTY_ACCOUNT_ID,TRANSFER_ON,SERVICE_TYPE,REFERENCE_NUMBER,EXT_TXN_NUMBER
21/07/2019,MP190721.0718.D00578,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,230,235,21-JUL-19,MR,261469710,21-JUL-19 07.18.00.860000 AM,MERCHPAY,450660,450660
19/07/2019,MP190719.2313.C05347,PAYEE,Credit,261061702,TS,Merchant Payment,60,60,50,110,19-JUL-19,MR,271731863,19-JUL-19 11.13.22.425000 PM,MERCHPAY,450267,450267
21/07/2019,MP190721.1036.D01523,PAYEE,Credit,261061702,TS,Merchant Payment,35,35,235,270,21-JUL-19,MR,267010088,21-JUL-19 10.36.30.266000 AM,MERCHPAY,450709,450709
21/07/2019,MP190721.1318.D02312,PAYEE,Credit,261061702,TF,Merchant Payment,40,0,360,360,21-JUL-19,MR,266982730,21-JUL-19 01.18.05.855000 PM,MERCHPAY,450776,450776
21/07/2019,MP190721.2101.D04227,PAYEE,Credit,261061702,TS,Merchant Payment,145,145,6,151,21-JUL-19,MR,573165498,21-JUL-19 09.01.26.685000 PM,MERCHPAY,450917,450917
21/07/2019,MP190721.1257.C02242,PAYEE,Credit,261061702,TS,Merchant Payment,70,70,290,360,21-JUL-19,MR,277801883,21-JUL-19 12.57.13.608000 PM,MERCHPAY,450761,450761
21/07/2019,RW190721.1801.C00015,PAYER,Debit,261061702,TS,Auto Sweep Money Transfer,370,370,370,0,21-JUL-19,MP,624613d05cd58f22261e5fdaaacdd108,21-JUL-19 06.01.07.546000 PM,AUTOSWP,,
21/07/2019,MP190721.0712.C00546,PAYEE,Credit,261061702,TS,Merchant Payment,35,35,195,230,21-JUL-19,MR,560021695,21-JUL-19 07.12.24.099000 AM,MERCHPAY,450655,450655
19/07/2019,MP190719.2231.D06174,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,5,10,19-JUL-19,MR,266842239,19-JUL-19 10.31.08.624000 PM,MERCHPAY,450253,450253
20/07/2019,MP190720.1712.C09490,PAYEE,Credit,261061702,TF,Merchant Payment,25,0,270,270,20-JUL-19,MR,277420873,20-JUL-19 05.12.44.766000 PM,MERCHPAY,450505,450505
20/07/2019,MP190720.1730.D00869,PAYEE,Credit,261061702,TF,Merchant Payment,60,0,290,290,20-JUL-19,MR,273052640,20-JUL-19 05.30.30.273000 PM,MERCHPAY,450513,450513
20/07/2019,MP190720.0003.D06394,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,125,130,20-JUL-19,MR,575570487,20-JUL-19 12.03.47.371000 AM,MERCHPAY,450283,450283
20/07/2019,MP190720.0557.C05768,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,130,135,20-JUL-19,MR,262123046,20-JUL-19 05.57.10.388000 AM,MERCHPAY,450300,450300
20/07/2019,MP190720.1000.D08026,PAYEE,Credit,261061702,TS,Merchant Payment,25,25,135,160,20-JUL-19,MR,264110110,20-JUL-19 10.00.59.774000 AM,MERCHPAY,450353,450353
